nrow,id,dia,aerolinea,destino,region,dest_size,area_abordaje,fecha_salida,espera_min,limpieza,seguridad,satisfaccion,espera_hr,espera_tipo,tipo_dia_semana
17,954,martes,ALASKA,NUEVA YORK-JFK,east us,Hub,Gates 50-59,2018-12-31,100.0,Limpio,Muy seguro,Muy satisfecho,1.6666666666666667,medio,weekday
18,2913,viernes,TURKISH AIRLINES,ESTAMBUL,medio oriente,Hub,Gates 91-102,2018-12-31,225.0,Limpio,Muy seguro,Algo satisfecho,3.75,largo,weekday
19,803,domingo,ALASKA,BALTIMORE,este de ee. uu.,Medium,Gates 50-59,2018-12-31,155.0,Limpio,Muy seguro,Muy satisfecho,2.5833333333333335,medio,weekend
20,767,jueves,AIR CANADA,TORONTO,canadá / méxico,Hub,Gates 91-102,2018-12-31,115.0,Promedio,Neutral,Algo satisfecho,1.9166666666666667,medio,weekday
21,1214,martes,SUDOESTE,LAS VEGAS,oeste de ee. uu.,Hub,Gates 20-39,2018-12-31,59.99999999999989,Promedio,Algo seguro,Algo satisfecho,0.9999999999999982,corto,weekday
22,1373,martes,UNITED INTL,SHANGHAI,asia,Hub,Gates 91-102,2018-12-31,145.0,Limpio,Muy seguro,Algo satisfecho,2.4166666666666665,medio,weekday
23,1263,jueves,UNITED INTL,TOKYO-NARITA,asia,Hub,Gates 91-102,2018-12-31,210.0,Promedio,Neutral,Neutral,3.5,largo,weekday
24,2723,miércoles,AIR FRANCE / KLM,PARIS-DE GAULLE,europa,Hub,Gates 1-12,2018-12-31,160.0,Algo limpio,Muy seguro,Algo satisfecho,2.6666666666666665,medio,weekday
25,3097,martes,UNITED,SPOKANE,oeste de ee. uu.,Small,Gates 70-90,2018-12-31,604.0,Limpio,Muy seguro,Muy satisfecho,10.066666666666666,largo,weekday
27,214,miércoles,AMERICAN,LOS ANGELES,oeste de ee. uu.,Hub,Gates 50-59,2018-12-31,100.0,Promedio,Algo seguro,Algo satisfecho,1.6666666666666667,medio,weekday
28,1372,martes,UNITED INTL,PARIS-DE GAULLE,europa,Hub,Gates 91-102,2018-12-31,205.0,Algo limpio,Muy seguro,Algo satisfecho,3.4166666666666665,largo,weekday
29,1956,martes,UNITED,BOSTON,este de ee. uu.,Large,Gates 70-90,2018-12-31,115.0,Algo limpio,Algo seguro,Algo satisfecho,1.9166666666666667,medio,weekday
30,1716,domingo,AIR FRANCE / KLM,PARIS-DE GAULLE,europa,Hub,Gates 1-12,2018-12-31,510.0,Limpio,Neutral,Muy satisfecho,8.5,largo,weekend
31,1487,miércoles,HAWAIIAN AIR,HONOLULU,oeste de ee. uu.,Medium,Gates 1-12,2018-12-31,135.0,Limpio,Muy seguro,Algo satisfecho,2.25,medio,weekday
32,842,martes,AMERICAN,DALLAS-FT. WORTH,midwest us,Hub,Gates 50-59,2018-12-31,145.0,Algo limpio,Muy seguro,Algo satisfecho,2.4166666666666665,medio,weekday
33,930,viernes,AIR CANADA,TORONTO,canadá / méxico,Hub,Gates 91-102,2018-12-31,270.0,Promedio,Algo seguro,Algo satisfecho,4.5,largo,weekday
34,3064,domingo,COPA,CIUDAD DE PANAMÁ,centroamérica / sudamérica,Medium,Gates 1-12,2018-12-31,173.0,Promedio,Neutral,Neutral,2.8833333333333333,medio,weekend
35,743,domingo,ALASKA,NUEVA YORK-JFK,este de ee. uu.,Hub,Gates 50-59,2018-12-31,100.0,Algo limpio,Muy seguro,Algo satisfecho,1.6666666666666667,medio,weekend
36,2099,lunes,UNITED INTL,CIUDAD DE MÉXICO,canadá / méxico,Hub,Gates 91-102,2018-12-31,190.0,Limpio,Muy seguro,Neutral,3.1666666666666665,largo,weekday
37,315,jueves,UNITED,SAN DIEGO,oeste de ee. uu.,Medium,Gates 70-90,2018-12-31,92.0000000000002,Algo limpio,Muy seguro,Algo satisfecho,1.5333333333333365,medio,weekday
38,2216,jueves,SUDOESTE,PHOENIX,oeste de ee. uu.,Hub,Gates 20-39,2018-12-31,135.0,Algo limpio,Muy seguro,Muy satisfecho,2.25,medio,weekday
39,3121,domingo,ALASKA,NEWARK,este de ee. uu.,Hub,Gates 50-59,2018-12-31,125.0,Limpio,Muy seguro,Neutral,2.0833333333333335,medio,weekend
41,2890,domingo,WOW,REYKJAVIK,europa,Small,Gates 1-12,2018-12-31,145.0,Promedio,Neutral,Algo satisfecho,2.4166666666666665,medio,weekend
42,3046,martes,AMERICAN,LOS ANGELES,oeste de ee. uu.,Hub,Gates 50-59,2018-12-31,120.0,Promedio,Muy seguro,Muy satisfecho,2.0,medio,weekday
43,3183,jueves,DELTA,LOS ANGELES,oeste de ee. uu.,Hub,Gates 40-48,2018-12-31,900.0,Algo limpio,Algo seguro,Algo satisfecho,15.0,largo,weekday
44,2288,martes,UNITED,SAN ANTONIO,midwest us,Medium,Gates 70-90,2018-12-31,150.0,Limpio,Muy seguro,Muy satisfecho,2.5,medio,weekday
45,2740,miércoles,AIR FRANCE / KLM,PARIS-DE GAULLE,europa,Hub,Gates 1-12,2018-12-31,330.0,Promedio,Muy inseguro,Algo satisfecho,5.5,largo,weekday
46,1570,miércoles,UNITED INTL,HONG KONG,asia,Hub,Gates 91-102,2018-12-31,150.0,Limpio,Algo seguro,Algo satisfecho,2.5,medio,weekday
47,3228,jueves,ALASKA,PORTLAND,oeste de ee. uu.,Medium,Gates 50-59,2018-12-31,110.0,Limpio,Muy seguro,Algo satisfecho,1.8333333333333333,medio,weekday
48,1140,martes,SUDOESTE,LOS ÁNGELES,oeste de ee. uu.,Hub,Gates 20-39,2018-12-31,415.0,Algo limpio,Muy seguro,Algo satisfecho,6.916666666666667,largo,weekday
49,349,viernes,ALASKA,SAN DIEGO,oeste de ee. uu.,Medium,Gates 50-59,2018-12-31,76.0000000000001,Limpio,Muy seguro,Muy satisfecho,1.2666666666666684,medio,weekday
50,1572,miércoles,UNITED INTL,HONG KONG,asia,Hub,Gates 91-102,2018-12-31,150.0,Algo limpio,Neutral,Muy satisfecho,2.5,medio,weekday
52,1635,jueves,KOREAN AIR,SEÚL,asia,Hub,Gates 1-12,2018-12-31,210.0,Algo sucio,Algo seguro,Neutral,3.5,largo,weekday
56,524,jueves,EMIRATES,DUBAI,medio oriente,Hub,Gates 1-12,2018-12-31,165.0,Algo limpio,Algo seguro,Neutral,2.75,medio,weekday
57,1139,martes,SUDOESTE,SAN DIEGO,oeste de ee. uu.,Medium,Gates 20-39,2018-12-31,120.0,Promedio,Muy seguro,Algo satisfecho,2.0,medio,weekday
58,314,jueves,UNITED,SAN DIEGO,oeste de ee. uu.,Medium,Gates 70-90,2018-12-31,122.0,Limpio,Muy seguro,Muy satisfecho,2.033333333333333,medio,weekday
59,558,jueves,EMIRATES,DUBAI,medio oriente,Hub,Gates 1-12,2018-12-31,225.0,Algo limpio,Algo seguro,Algo satisfecho,3.75,largo,weekday
60,262,viernes,AIR CANADA,TORONTO,canadá / méxico,Hub,Gates 91-102,2018-12-31,175.0,Algo limpio,Algo seguro,Algo satisfecho,2.9166666666666665,medio,weekday
61,2537,martes,UNITED,CHICAGO-O'HARE,midwest us,Hub,Gates 60-69,2018-12-31,115.0,Limpio,Muy seguro,Muy satisfecho,1.9166666666666667,medio,weekday
62,1713,domingo,AIR FRANCE / KLM,PARIS-DE GAULLE,europa,Hub,Gates 1-12,2018-12-31,135.0,Promedio,Muy seguro,Algo satisfecho,2.25,medio,weekend
63,407,sábado,UNITED,PHOENIX,oeste de ee. uu.,Hub,Gates 70-90,2018-12-31,110.0,Limpio,Muy seguro,Algo satisfecho,1.8333333333333333,medio,weekend
64,3212,jueves,AMERICAN,LOS ANGELES,oeste de ee. uu.,Hub,Gates 50-59,2018-12-31,90.0,Algo limpio,Algo seguro,Algo insatisfecho,1.5,medio,weekday
65,450,domingo,UNITED,INDIANAPOLIS,medio oeste de ee. uu.,Medium,Gates 60-69,2018-12-31,67.9999999999999,Limpio,Algo seguro,Muy satisfecho,1.1333333333333317,medio,weekend
66,1477,miércoles,AVIANCA,SAN SALVADOR,centro / sudamérica,Small,Gates 1-12,2018-12-31,155.0,Limpio,Muy seguro,Muy satisfecho,2.5833333333333335,medio,weekday
67,3151,jueves,DELTA,SALT LAKE CITY,oeste de ee. uu.,Medium,Gates 40-48,2018-12-31,14.9999999999999,Promedio,Muy seguro,Neutral,0.24999999999999833,corto,weekday
68,2257,miércoles,UNITED,LOS ANGELES,west us,Hub,Gates 60-69,2018-12-31,64.9999999999999,Limpio,Muy seguro,Muy satisfecho,1.0833333333333317,medio,weekday
69,2400,miércoles,UNITED INTL,BEIJING,asia,Hub,Gates 91-102,2018-12-31,205.0,Limpio,Muy seguro,Algo satisfecho,3.4166666666666665,largo,weekday
70,2230,miércoles,AER LINGUS,DUBLIN,europa,Large,Gates 91-102,2018-12-31,300.0,Promedio,Algo seguro,Neutral,5.0,largo,weekday
71,2865,miércoles,UNITED,WASHINGTON DC-DULLES,este de ee. uu.,Medium,Gates 70-90,2018-12-31,77.0,Promedio,Muy seguro,Algo satisfecho,1.2833333333333334,medio,weekday
72,387,viernes,ALASKA,INDIANAPOLIS,medio oeste de ee. uu.,Medium,Gates 50-59,2018-12-31,160.0,Limpio,Muy seguro,Muy satisfecho,2.6666666666666665,medio,weekday
73,1957,viernes,CATHAY PACIFIC,HONG KONG,asia,Hub,Gates 1-12,2018-12-31,185.0,Algo limpio,Neutral,Algo satisfecho,3.0833333333333335,largo,weekday
74,2526,martes,JETBLUE,LONG BEACH,oeste de ee. uu.,Small,Gates 1-12,2018-12-31,60.0,Algo limpio,Algo seguro,Algo satisfecho,1.0,corto,weekday
75,3041,martes,AMERICAN,DALLAS-FT. WORTH,midwest us,Hub,Gates 50-59,2018-12-31,185.0,Algo limpio,Muy seguro,Algo satisfecho,3.0833333333333335,largo,weekday
76,813,domingo,ALASKA,PORTLAND,oeste de ee. uu.,Medium,Gates 50-59,2018-12-31,140.0,Algo limpio,Muy seguro,Algo satisfecho,2.3333333333333335,medio,weekend
77,1523,miércoles,JETBLUE,NUEVA YORK-JFK,este de ee. uu.,Hub,Gates 1-12,2018-12-31,81.0,Algo limpio,Muy seguro,Algo satisfecho,1.35,medio,weekday
78,2796,domingo,WOW,REYKJAVIK,europa,Small,Gates 1-12,2018-12-31,160.0,Algo limpio,Algo seguro,Algo satisfecho,2.6666666666666665,medio,weekend
79,3255,martes,UNITED,SAN DIEGO,oeste de ee. uu.,Medium,Gates 70-90,2018-12-31,105.0,Promedio,Algo seguro,Neutral,1.75,medio,weekday
80,2042,viernes,BRITISH AIRWAYS,LONDON HEATHROW,europa,Hub,Gates 1-12,2018-12-31,180.0,Algo limpio,Muy seguro,Algo satisfecho,3.0,medio,weekday
81,3062,domingo,PHILIPPINE AIRLINES,MANILA,asia,Medium,Gates 1-12,2018-01-01,215.0,Limpio,Algo seguro,Algo satisfecho,3.5833333333333335,largo,weekend
82,2026,viernes,BRITISH AIRWAYS,LONDON HEATHROW,europa,Hub,Gates 1-12,2018-12-31,120.0,Algo limpio,Algo seguro,Algo satisfecho,2.0,medio,weekday
83,1793,sábado,UNITED,RALEIGH-DURHAM,east us,Medium,Gates 70-90,2018-12-31,150.0,Limpio,Algo seguro,Algo satisfecho,2.5,medio,weekend
84,1366,martes,UNITED INTL,KANSAI,asia,Hub,Gates 91-102,2018-12-31,170.0,Limpio,Muy seguro,Algo satisfecho,2.8333333333333335,medio,weekday
85,1017,viernes,AIR CANADA,VANCOUVER,canadá / méxico,Medium,Gates 91-102,2018-12-31,110.0,Algo limpio,Muy seguro,Algo satisfecho,1.8333333333333333,medio,weekday
86,2501,viernes,ALASKA,SALT LAKE CITY,oeste de ee. uu.,Medium,Gates 1-12,2018-12-31,120.0,Algo limpio,Neutral,Algo satisfecho,2.0,medio,weekday
88,3202,domingo,CATHAY PACIFIC,HONG KONG,asia,Hub,Gates 1-12,2018-01-01,210.0,Limpio,Neutral,Algo satisfecho,3.5,largo,weekend
89,1747,lunes,LUFTHANSA,MUNICH,europa,Hub,Gates 91-102,2018-12-31,205.0,Limpio,Muy seguro,Muy satisfecho,3.4166666666666665,largo,weekday
90,1954,sábado,AIR FRANCE / KLM,PARIS-DE GAULLE,europa,Hub,Gates 1-12,2018-12-31,245.0,Limpio,Muy seguro,Muy satisfecho,4.083333333333333,largo,weekend
91,643,jueves,ALASKA,NUEVA ORLEANS,medio oeste de ee. uu.,Medium,Gates 50-59,2018-12-31,160.0,Algo limpio,Neutral,Algo satisfecho,2.6666666666666665,medio,weekday
93,2258,miércoles,WOW,REYKJAVIK,europa,Small,Gates 91-102,2018-12-31,355.0,Algo limpio,Algo seguro,Algo satisfecho,5.916666666666667,largo,weekday
94,2334,martes,DELTA,MINNEAPOLIS-ST. PAUL,midwest us,Hub,Gates 40-48,2018-12-31,155.0,Limpio,Muy seguro,Muy satisfecho,2.5833333333333335,medio,weekday
95,1887,martes,UNITED,BOSTON,este de ee. uu.,Large,Gates 70-90,2018-12-31,84.9999999999999,Algo limpio,Neutral,Neutral,1.416666666666665,medio,weekday
97,363,viernes,LUFTHANSA,FRANKFURT,europa,Hub,Gates 91-102,2018-12-31,180.0,Algo limpio,Algo seguro,Algo satisfecho,3.0,medio,weekday
99,2443,martes,JETBLUE,BOSTON,este de ee. uu.,Large,Gates 1-12,2018-12-31,177.0,Limpio,Muy seguro,Algo satisfecho,2.95,medio,weekday
100,2321,miércoles,SUDOESTE,LOS ÁNGELES,oeste de ee. uu.,Hub,Gates 20-39,2018-12-31,130.0,Algo limpio,Algo seguro,Algo satisfecho,2.1666666666666665,medio,weekday
101,1593,jueves,SUDOESTE,LOS ÁNGELES,oeste de ee. uu.,Hub,Gates 20-39,2018-12-31,50.0,Limpio,Muy seguro,Muy satisfecho,0.8333333333333334,corto,weekday
103,716,miércoles,CATHAY PACIFIC,HONG KONG,asia,Hub,Gates 1-12,2018-12-31,270.0,Limpio,Muy seguro,Muy satisfecho,4.5,largo,weekday
104,2320,miércoles,QANTAS,SYDNEY,australia / nueva zelanda,Hub,Gates 1-12,2018-12-31,150.0,Algo limpio,Algo seguro,Algo satisfecho,2.5,medio,weekday
106,2038,viernes,BRITISH AIRWAYS,LONDON HEATHROW,europa,Hub,Gates 1-12,2018-12-31,150.0,Promedio,Algo seguro,Neutral,2.5,medio,weekday
107,550,jueves,EMIRATES,DUBAI,medio oriente,Hub,Gates 1-12,2018-12-31,245.0,Algo limpio,Algo seguro,Algo satisfecho,4.083333333333333,largo,weekday
108,746,domingo,ALASKA,NUEVA YORK-JFK,este de ee. uu.,Hub,Gates 50-59,2018-12-31,120.0,Limpio,Muy seguro,Muy satisfecho,2.0,medio,weekend
109,2739,viernes,UNITED,KAHULUI,oeste de ee. uu.,Small,Gates 60-69,2018-12-31,32.0,Algo limpio,Muy seguro,Algo satisfecho,0.5333333333333333,corto,weekday
110,1984,viernes,AIR FRANCE / KLM,AMSTERDAM,europa,Hub,Gates 1-12,2018-12-31,115.0,Promedio,Neutral,Algo insatisfecho,1.9166666666666667,medio,weekday
111,2566,sábado,JETBLUE,LONG BEACH,oeste de ee. uu.,Small,Gates 1-12,2018-12-31,103.0,Limpio,Muy seguro,Algo satisfecho,1.7166666666666666,medio,weekend
112,2200,miércoles,AER LINGUS,DUBLIN,europa,Large,Gates 91-102,2018-12-31,180.0,Algo limpio,Algo seguro,Algo satisfecho,3.0,medio,weekday
113,340,miércoles,SUDOESTE,PHOENIX,oeste de ee. uu.,Hub,Gates 20-39,2018-12-31,240.0,Algo limpio,Algo seguro,Algo satisfecho,4.0,largo,weekday
114,1252,jueves,UNITED INTL,TOKYO-NARITA,asia,Hub,Gates 91-102,2018-12-31,120.0,Algo limpio,Algo seguro,Muy satisfecho,2.0,medio,weekday
115,1946,sábado,AIR FRANCE / KLM,PARIS-DE GAULLE,europa,Hub,Gates 1-12,2018-12-31,305.0,Limpio,Muy seguro,Neutral,5.083333333333333,largo,weekend
116,2627,martes,UNITED,CHICAGO-O'HARE,midwest us,Hub,Gates 60-69,2018-12-31,74.9999999999999,Limpio,Muy seguro,Muy satisfecho,1.2499999999999984,medio,weekday
117,1563,miércoles,DELTA,ATLANTA,este de ee. uu.,Hub,Gates 40-48,2018-12-31,135.0,Algo limpio,Algo seguro,Neutral,2.25,medio,weekday
118,752,jueves,AIR CANADA,TORONTO,canadá / méxico,Hub,Gates 91-102,2018-12-31,235.0,Algo limpio,Algo seguro,Neutral,3.9166666666666665,largo,weekday
120,3135,martes,UNITED,SAN DIEGO,west us,Medium,Gates 60-69,2018-12-31,70.0000000000001,Algo limpio,Muy seguro,Algo satisfecho,1.1666666666666683,medio,weekday
121,1123,jueves,DELTA,MINNEAPOLIS-ST. PAUL,medio oeste de ee. uu.,Hub,Gates 40-48,2018-12-31,90.0,Algo limpio,Muy seguro,Algo satisfecho,1.5,medio,weekday
122,2220,jueves,SUDOESTE,PHOENIX,oeste de ee. uu.,Hub,Gates 20-39,2018-12-31,95.0,Algo limpio,Muy seguro,Muy satisfecho,1.5833333333333333,medio,weekday
123,3065,martes,UNITED,SPOKANE,oeste de ee. uu.,Small,Gates 70-90,2018-12-31,112.0,Promedio,Neutral,Neutral,1.8666666666666667,medio,weekday
124,3052,martes,AMERICAN,MIAMI,este de ee. uu.,Hub,Gates 50-59,2018-12-31,125.0,Limpio,Algo seguro,Algo satisfecho,2.0833333333333335,medio,weekday
125,2847,martes,UNITED,SEATTLE,oeste de ee. uu.,Hub,Gates 70-90,2018-12-31,142.0,Promedio,Muy seguro,Algo satisfecho,2.3666666666666667,medio,weekday
127,884,martes,ALASKA,SEATTLE,oeste de ee. uu.,Hub,Gates 50-59,2018-12-31,85.0,Limpio,Muy seguro,Muy satisfecho,1.4166666666666667,medio,weekday
128,2054,viernes,UNITED,NEWARK,east us,Hub,Gates 70-90,2018-12-31,150.0,Limpio,Muy seguro,Muy satisfecho,2.5,medio,weekday
129,1571,miércoles,DELTA,DETROIT,medio oeste de ee. uu.,Large,Gates 40-48,2018-12-31,155.0,Algo limpio,Muy seguro,Neutral,2.5833333333333335,medio,weekday
130,747,domingo,ALASKA,NUEVA YORK-JFK,este de ee. uu.,Hub,Gates 50-59,2018-12-31,120.0,Algo limpio,Muy seguro,Muy satisfecho,2.0,medio,weekend
132,1799,domingo,ALASKA,RALEIGH-DURHAM,este de ee. uu.,Medium,Gates 50-59,2018-12-31,265.0,Algo limpio,Neutral,Algo satisfecho,4.416666666666667,largo,weekend
134,2281,miércoles,QANTAS,SYDNEY,australia / nueva zelanda,Hub,Gates 1-12,2018-12-31,225.0,Promedio,Neutral,Algo insatisfecho,3.75,largo,weekday
135,2711,viernes,UNITED,SANTA BARBARA,west us,Small,Gates 70-90,2018-12-31,122.0,Algo limpio,Algo seguro,Algo satisfecho,2.033333333333333,medio,weekday
136,917,viernes,AIR CANADA,TORONTO,canadá / méxico,Hub,Gates 91-102,2018-12-31,90.0,Algo limpio,Algo seguro,Neutral,1.5,medio,weekday
137,2091,jueves,AMERICAN,PHILADELPHIA,east us,Large,Gates 50-59,2018-12-31,97.0,Algo limpio,Algo seguro,Algo satisfecho,1.6166666666666667,medio,weekday
139,265,viernes,AIR CANADA,TORONTO,canadá / méxico,Hub,Gates 91-102,2018-12-31,415.0,Promedio,Neutral,Neutral,6.916666666666667,largo,weekday
140,2387,miércoles,UNITED INTL,BEIJING,asia,Hub,Gates 91-102,2018-12-31,135.0,Algo limpio,Neutral,Neutral,2.25,medio,weekday
141,3254,martes,UNITED,SAN DIEGO,oeste de ee. uu.,Medium,Gates 70-90,2018-12-31,150.0,Algo limpio,Muy seguro,Algo satisfecho,2.5,medio,weekday
142,772,jueves,UNITED INTL,SAN JOSE DEL CABO,canada / mexico,Small,Gates 91-102,2018-12-31,90.0,Algo limpio,Muy seguro,Muy satisfecho,1.5,medio,weekday
143,465,domingo,UNITED,DENVER,oeste de ee. uu.,Hub,Gates 70-90,2018-12-31,131.0,Promedio,Algo seguro,Algo satisfecho,2.183333333333333,medio,weekend
144,374,viernes,ALASKA,SAN JOSE DEL CABO,canada / mexico,Small,Gates 50-59,2018-12-31,105.0,Algo limpio,Neutral,Algo satisfecho,1.75,medio,weekday
145,367,viernes,ALASKA,SAN JOSE DEL CABO,canada / mexico,Small,Gates 50-59,2018-12-31,135.0,Algo limpio,Muy seguro,Algo satisfecho,2.25,medio,weekday
146,2113,viernes,JETBLUE,LONG BEACH,oeste de ee. uu.,Small,Gates 1-12,2018-12-31,514.0,Promedio,Algo seguro,Algo satisfecho,8.566666666666666,largo,weekday
148,1970,viernes,CATHAY PACIFIC,HONG KONG,asia,Hub,Gates 1-12,2018-12-31,185.0,Limpio,Muy seguro,Algo satisfecho,3.0833333333333335,largo,weekday
149,1012,viernes,AIR CANADA,VANCOUVER,canadá / méxico,Medium,Gates 91-102,2018-12-31,185.0,Limpio,Muy seguro,Algo satisfecho,3.0833333333333335,largo,weekday
150,1739,lunes,AIR CANADA,TORONTO,canadá / méxico,Hub,Gates 91-102,2018-12-31,75.0000000000001,Algo limpio,Algo seguro,Muy satisfecho,1.2500000000000016,medio,weekday
151,2004,miércoles,UNITED,NEWARK,east us,Hub,Gates 70-90,2018-12-31,170.0,Algo limpio,Algo seguro,Muy satisfecho,2.8333333333333335,medio,weekday
152,2016,miércoles,UNITED,NEWARK,east us,Hub,Gates 70-90,2018-12-31,98.0000000000001,Limpio,Muy seguro,Algo satisfecho,1.633333333333335,medio,weekday
153,2262,sábado,UNITED,BAKERSFIELD,west us,Small,Gates 70-90,2018-12-31,166.0,Algo sucio,Muy seguro,Algo insatisfecho,2.7666666666666666,medio,weekend
154,2482,viernes,ALASKA,SALT LAKE CITY,oeste de ee. uu.,Medium,Gates 1-12,2018-12-31,90.0,Algo limpio,Neutral,Algo insatisfecho,1.5,medio,weekday
155,2969,martes,UNITED,HONOLULU,west us,Medium,Gates 70-90,2018-12-31,65.0000000000001,Limpio,Muy seguro,Muy satisfecho,1.083333333333335,medio,weekday
156,2575,martes,UNITED,CHICAGO-O'HARE,midwest us,Hub,Gates 60-69,2018-12-31,90.0,Limpio,Algo seguro,Muy satisfecho,1.5,medio,weekday
157,637,jueves,ALASKA,NUEVA ORLEANS,medio oeste de ee. uu.,Medium,Gates 50-59,2018-12-31,110.0,Limpio,Muy seguro,Muy satisfecho,1.8333333333333333,medio,weekday
158,2497,viernes,UNITED,CHICAGO-O'HARE,midwest us,Hub,Gates 60-69,2018-12-31,139.0,Algo limpio,Algo seguro,Algo satisfecho,2.316666666666667,medio,weekday
160,1724,lunes,AIR CANADA,TORONTO,canadá / méxico,Hub,Gates 91-102,2018-12-31,150.0,Limpio,Muy seguro,Muy satisfecho,2.5,medio,weekday
161,805,miércoles,AMERICAN,LOS ANGELES,oeste de ee. uu.,Hub,Gates 50-59,2018-12-31,160.0,Algo limpio,Muy seguro,Neutral,2.6666666666666665,medio,weekday
162,3169,jueves,DELTA,LOS ÁNGELES,oeste de ee. uu.,Hub,Gates 40-48,2018-12-31,59.99999999999989,Promedio,Muy seguro,Algo satisfecho,0.9999999999999982,corto,weekday
163,1090,jueves,DELTA,MINNEAPOLIS-ST. PAUL,medio oeste de ee. uu.,Hub,Gates 40-48,2018-12-31,105.0,Algo limpio,Muy seguro,Algo satisfecho,1.75,medio,weekday
164,270,jueves,UNITED,LOS ANGELES,west us,Hub,Gates 70-90,2018-12-31,130.0,Limpio,Muy seguro,Muy satisfecho,2.1666666666666665,medio,weekday
165,569,jueves,ALASKA,SEATTLE,oeste de ee. uu.,Hub,Gates 50-59,2018-12-31,105.0,Algo limpio,Algo seguro,Algo satisfecho,1.75,medio,weekday
166,2319,miércoles,QANTAS,SYDNEY,australia / nueva zelanda,Hub,Gates 1-12,2018-12-31,220.0,Promedio,Muy seguro,Algo insatisfecho,3.6666666666666665,largo,weekday
167,3223,jueves,AMERICAN,LOS ANGELES,west us,Hub,Gates 50-59,2018-12-31,60.0,Limpio,Muy seguro,Muy satisfecho,1.0,corto,weekday
168,2922,jueves,DELTA,SEATTLE,oeste de ee. uu.,Hub,Gates 40-48,2018-12-31,105.0,Algo limpio,Algo seguro,Algo satisfecho,1.75,medio,weekday
169,13,martes,SUDOESTE,LOS ÁNGELES,oeste de ee. uu.,Hub,Gates 20-39,2018-12-31,90.0,Promedio,Algo seguro,Algo satisfecho,1.5,medio,weekday
170,1719,domingo,AIR FRANCE / KLM,PARIS-DE GAULLE,europa,Hub,Gates 1-12,2018-12-31,510.0,Promedio,Algo seguro,Neutral,8.5,largo,weekend
171,3186,jueves,DELTA,LOS ANGELES,oeste de ee. uu.,Hub,Gates 40-48,2018-12-31,53.0,Promedio,Algo seguro,Algo satisfecho,0.8833333333333333,corto,weekday
